,content,rating,title
11,"Same thing keeps happening. Dealing with customer services then Seller Support jumps in. I can't reply as that requires a seller account which I don't currently have or want. So I tell customer services that. Yet told them 6 times today and said seller support NOT to contact me ever again as this is trolling and the employee ought to be disciplined. Of course the messages keep coming with NOTHING from customer services. Seriously thinking of legal action for harassment. Thoughts? Btw writing similar review on Trustpilot and they said using the word ""idiots"" is inappropriate language. I can think of worse...",1,“Crap customer service is their problem.” 
12,"If I could give it zero stars, I would. Amazon is the worst company to ever exist. It is making people lazy as hell and it is costing my dad hundreds of thousands of dollars a year. It is also beginning to put my favorite stores out of business. I would give anything to have amazon not exist anymore",1,“Taking over” 
13,"I purchased an incorrect item back in Nov 2018. Upon opening the package, I realized my mistake. I immediately applied for a refund, got my refund code, prepared the package to be sent back, and paid for the shipping back to the seller.

I contacted Amazon in mid-December after I realized the package had been delivered but my refund had not been received. They told me it could take some time and that they would take care of everything. I left it at that.

I had not received anything nor heard from Amazon into early January, so I contacted them again. I got the same response but they were escalating it to their complaints department. Great?!?! now I had to wait for them to get back to me again.

I had not received any communication since contacting Amazon earlier in the month. I was getting annoyed. I contacted them for the third time and I got the exact same run around that I was given earlier. I was given three days to hear back from Amazon to see if I can even get my refund.

It went from a simple return to the potential I won't even get it. Leaving the seller with both my money and the product. 

Every agent I spoke to had no information and no power. They couldn't do anything. Useless and a waste of time.

I have since deleted all my accounts",1,“Amazon doesnt care” 
14,"once again Amazon screws me and tells me that I have to correct everything. Ordered a camera to be delivered to an amazon pick-up box. Day of delivery, box is too big for amazon pick-up box, and apparently this is my fault not amazons, who sold the item, offered pick-up box as an option, and then refused delivery of item. Called the oh so not friendly amazon customer service just to be told the only thing they can do to transfer me to UPS so I can deal with it. Are you F'in kidding me. You screwed it up not me. It is your responsible to correct the issue, not me! requested to cancel order, customer service didn't cancel order. Called again the next day, basically the same thing. my fault, and I have to go and reorder etc. THIS IS NOT HOW BUSINESS FUNCTIONS. YOUR MISTAKE YOUR SOLUTION. I use to order a lot from amazon however their logical and customer service teams are terrible and have no empathy or basic customer service skill to correct their OWN MISTAKES. Don't Worry, I have been and will continue to take my business else where to businesses that actually want my business and make correct steps when they screw up.",1,“Worst Customer Service EVER” 
15,I cant even begin to tell you how bad this company is to a customer since 2010. I will be writing a full review soon.,1,“Business Manger” 
16,Save your money and buy directly from the seller and skip Amazon all together! Very poor customer service.,1,“Save your money” 
17,"In my opinion the biggest difference between eBay and Amazon is that with eBay you can tell the ""truth"" about your experience in their feedback system. 

With Amazon whenever you tell the truth this is what you get. 

""Thank you for submitting a customer review on Amazon. After carefully reviewing your submission, your review could not be posted to the website. While we appreciate your time and comments, reviews must adhere to the following guidelines."" 

So to me Amazon is a complete farce and they hide behind their lies, so that they look better!",1,“Not allowed to tell the truth!” 
18,"Tuscom ships from china but does say so in ad. After you complain about late shipment THEN they tell you. Will take OVER four WEEKS to arrive (if it ever does). Also very unresponsive to information requests! 

Tell you not to accept shipment(ever try to not accept a shipment when you have no idea of when it's scheduled to arrive) and when (if) they receive it back in china, they will issue a credit. Total process wound probably take 3 or 4 months.

Amazon should ban this type of false advertising but they have done absolutely nothing. Only thing they have done is lost a very good customer.",1,“FALSE ADVERTISNG - TUSCOM” 
19,"Amazon use to be the cheapest 
and I have used heavily that past several years but this last year 
things changed and they are getting greedy now and are no longer the 
cheapest from several different perspectives! Just comparing the base 
price I have been finding more and more to not be cheapest, then add 
shipping. Free 2 day with Prime that now costs $119 instead of $60 like 
it use to and this does not include free shipping on returns! That is 
another funny thing, free 2-day shipping selected but finding more and 
more it is not here in 2 days or sometimes even a week? My word ... so 
much $ was lost on Christmas presents this year just for paying the 
return shipping costs.lol, a $16.99 toy that the box is 6""x6""x2"" and 
weighs almost nothings costs $6.99 to return?  A $70 Weighted blanket 
cost $29 to return .... NEVER again will I use Amazon for Christmas or 
gifts or rally anything I am not 99.9% it will not be returned! For 
gifts I am going back to physical stores like Kohl's where can shop 
online but the item can be returned directly without shipping costs.",1,"“Loved Amazon for many years pre 2018, they getting greedy now!” "
20,"Amazon is a thief just like their sellers, and worse, they endorse their thief's


            My worst shopping experience ever and I'm 82, and it was/is 
at Amazon.com. They are as big a thief as their sellers. They and the 
seller ripped me off for over $708.61, about 140.00 more! It was a 
Huawei P20 Pro cell phone that I never got. And they: Amazon.com  and 
New And Mint Condition Collectibles Attn: Ronen Gold, 400 W. Belmont, 
Chicago, IL committed a case of fraud against me.Chase Bank/Amazon/Amazon CC									12/21/2018Attn: Customer Service Ref: Bonneville County Sheriffs Case # 201840833Ref: Claim ID: C-20181005-5465, Ref. CC 8636								To Whom It May Concern:The
 above claim with you has been turned into the Bonneville County 
Sheriff's Office and is case File Nr. 2018-40833 and is being handled by
 Sergeant J. Martin at 208-529-1375. The FBI has also been notified and 
may also become involved as well since this case involved three or more 
states and many more people as well, maybe hundreds. This operation has 
been going on for some time and continues to this day with new fraud 
cases being added every day by the crooked sellers under the umbrella 
provided by Amazon.com which allows them to operate with impunity, and 
rip off Americans every day for hundreds and thousands of dollars and 
Amazon and Chase Bank also say it's not their responsibility. Chase
 has not retrieved all my funds from Amazon and Amazon has made no 
attempt to refund my funds. They have given me about a dozen different 
excuses, all different, all meaning nothing. Everyone says something 
different than the last person, adding up to nothing being done. Some of
 the excuses they used were: You filed the claim too early, also too 
late; I changed the dynamics of the order, I haven't returned the phone,
 the case has been closed, we're waiting for the seller to respond, you 
have to write to the seller, you are owed a refund, we'll send you 
$200.00 a week, we put $100.00 into your account for your problems 
(Sierra), I put $50.00 into your account for your problems, (Stephan),  
and no money was deposited into my account.The seller: New and 
Mint Collectables located at 400 W. Division, Chicago, IL has a long 
history of fraud on the internet which continues today and tomorrow. 
Amazon is protecting them from repaying or delivering the products 
promised to the buyers. There are many examples of this on Amazon's 
website under the seller's companies name which is owned by Ronen Gold, 
at 400 W. Division, Chicago, ILThe sad performance of Amazon (Dec.11th/18)                      						                 12/11/18In
 all my years, 82, never had I ever had such a bad shopping experience 
as with you; the crooked seller you allowed to operate under your 
umbrella for so long, and your staff who tried to mislead me, lied to me
 so many times and didn't do their jobs properly. I'm talking about my 
experience in buying a Huawei P20 Pro cell phone from your seller, who 
was/is a thief and sent me a piece of  junk phone for my $709.00; 
Newandmintcollectibles.com in Chicago. The way your staff handles 
problems like this is deplorable, and shouldn't be handled like it is. 
You treat the buyer like he's the thief, and give the thief so much 
leeway that he can get and do just about anything he wants without any 
repercussions. YOU APPARENTLY DON'T PAY ANY ATTENTION TO YOUR SELLERS 
RATINGS LIKE A NEGATIVE -88% WHEN IT SHOULD BE A +90 PERCENT BUSINESS 
RATING. And now I see you can't even find a trace of him on your site, 
but you're a little late, it appears he's already made off with the 
money and you expect me to absorb the loss, and you have no penalty. 
Then you have the audacity to have someone send me an email stating:Hello,
 We have closed your claim for order 112-1737567-3637863 because we have
 no evidence that the seller received your return. The seller has not 
received the return, and the information you provided does not prove 
that the package was delivered to the seller. As a result, this order is
 not eligible for the A-to-z Guarantee. If you need to return an item in
 the future, we recommend following these best practices to be sure that
 the seller receives your package: -- Include the order number on or 
inside the package. -- Insure the package. -- Use a signature 
confirmation delivery service. To learn more about coverage, visit our A-to-z Guarantee Help page on our Amazon.com site .amazon.c/a-to-z-guarantee.-- Date of Claim: November 23, 2018Sincerely,and
 there is no name on the message, so it makes it impossible for me to 
contact them. This whole thing would have never happened if you had a 
good IT man in your employment. I thought I was placing an order with 
FGS Trading, and because I changed the color of the phone from Black to 
Twilight, without my knowledge, it also changed the supplier to the con 
man that has been hiding under your umbrella for who knows how long and 
allowing him not to deliver a package or the wrong thing, as he has done
 in the past, and you allowed him to continue his fraud until he 
defrauded me out of $709.00 dollars. And you believe him and not me; 
that I returned the cheap piece of garbage to him. Well, there was a 
police officer here and he saw the package before I sent it out. And my 
postal guy will remember the package going out as well, I made sure of 
that. I also made a report to our sheriff and to the Chicago police as 
well. And maybe they'll find him even though he used a false address in 
Chicago. I'm sure they'll find him at the end of the trail which he'll 
leave behind. And you still owe me the amount mentioned above, because 
even some of your staff has told me I did everything correctly, and 
should have received my money back, as you state in all your little 
regulations that also say I should have received my money back in 7 to 
10 days and haven't. Are you that greedy?SincerelyJerry SinkovecP.S. Beware  of Amazon and their sellers!









                Amazon is a thief just like their sellers, and worse, they endorse their thiefs


            My worst shopping experience ever and I'm 82, and it was/is 
at Amazon.com. They are as big a thief as their sellers. They and the 
seller ripped me off for over $708.61, about 140.00 more! It was a 
Huawei P20 Pro cell phone that I never got. And they: Amazon.com  and 
New And Mint Condition Collectables Attn: Ronen Gold, 400 W. Belmont, 
Chicago, IL committed a case of fraud against me.Chase Bank/Amazon/Amazon CC									12/21/2018Attn: Customer ServiceRef: Bonneville County Sheriffs Case # 201840833Ref: Claim ID: C-20181005-5465, Ref. CC 8636								To Whom It May Concern:The
 above claim with you has been turned into the Bonneville County 
Sheriff's Office and is case File Nr. 2018-40833 and is being handled by
 Sergeant J. Martin at 208-529-1375. The FBI has also been notified and 
may also become involved as well since this case involved three or more 
states and many more people as well, maybe hundreds. This operation has 
been going on for some time and continues to this day with new fraud 
cases being added every day by the crooked sellers under the umbrella 
provided by Amazon.com which allows them to operate with impunity, and 
rip off Americans every day for hundreds and thousands of dollars and 
Amazon and Chase Bank also say it's not their responsibility. Chase
 has not retrieved all my funds from Amazon and Amazon has made no 
attempt to refund my funds. They have given me about a dozen different 
excuses, all different, all meaning nothing. Everyone says something 
different than the last person, adding up to nothing being done. Some of
 the excuses they used were: You filed the claim too early, also too 
late; I changed the dynamics of the order, I haven't returned the phone,
 the case has been closed, we're waiting for the seller to respond, you 
have to write to the seller, you are owed a refund, we'll send you 
$200.00 a week, we put $100.00 into your account for your problems 
(Sierra), I put $50.00 into your account for your problems, (Stephan),  
and no money was deposited into my account.The seller: New and 
Mint Collectables located at 400 W. Division, Chicago, IL has a long 
history of fraud on the internet which continues today and tomorrow. 
Amazon is protecting them from repaying or delivering the products 
promised to the buyers. There are many examples of this on Amazon's 
website under the seller's companies name which is owned by Ronen Gold, 
at 400 W. Division, Chicago, ILThe sad performance of Amazon (Dec.11th/18)                      						                 12/11/18In
 all my years, 82, never had I ever had such a bad shopping experience 
as with you; the crooked seller you allowed to operate under your 
umbrella for so long, and your staff who tried to mislead me, lied to me
 so many times and didn't do their jobs properly. I'm talking about my 
experience in buying a Huawei P20 Pro cell phone from your seller, who 
was/is a thief and sent me a piece of  junk phone for my $709.00; 
Newandmintcollectibles.com in Chicago. The way your staff handles 
problems like this is deplorable, and shouldn't be handled like it is. 
You treat the buyer like he's the thief, and give the thief so much 
leeway that he can get and do just about anything he wants without any 
repercussions. YOU APPARENTLY DON'T PAY ANY ATTENTION TO YOUR SELLERS 
RATINGS LIKE A NEGATIVE -88% WHEN IT SHOULD BE A +90 PERCENT BUSINESS 
RATING. And now I see you can't even find a trace of him on your site, 
but you're a little late, it appears he's already made off with the 
money and you expect me to absorb the loss, and you have no penalty. 
Then you have the audacity to have someone send me an email stating:Hello,
 We have closed your claim for order 112-1737567-3637863 because we have
 no evidence that the seller received your return. The seller has not 
received the return, and the information you provided does not prove 
that the package was delivered to the seller. As a result, this order is
 not eligible for the A-to-z Guarantee. If you need to return an item in
 the future, we recommend following these best practices to be sure that
 the seller receives your package: -- Include the order number on or 
inside the package. -- Insure the package. -- Use a signature 
confirmation delivery service. To learn more about coverage, visit our A-to-z Guarantee Help page on our Amazon.com site .amazon.c/a-to-z-guarantee.-- Date of Claim: November 23, 2018Sincerely,and
 there is no name on the message, so it makes it impossible for me to 
contact them. This whole thing would have never happened if you had a 
good IT man in your employment. I thought I was placing an order with 
FGS Trading, and because I changed the color of the phone from Black to 
Twilight, without my knowledge, it also changed the supplier to the con 
man that has been hiding under your umbrella for who knows how long and 
allowing him not to deliver a package or the wrong thing, as he has done
 in the past, and you allowed him to continue his fraud until he 
defrauded me out of $709.00 dollars. And you believe him and not me; 
that I returned the cheap piece of garbage to him. Well, there was a 
police officer here and he saw the package before I sent it out. And my 
postal guy will remember the package going out as well, I made sure of 
that. I also made a report to our sheriff and to the Chicago police as 
well. And maybe they'll find him even though he used a false address in 
Chicago. I'm sure they'll find him at the end of the trail which he'll 
leave behind. And you still owe me the amount mentioned above, because 
even some of your staff has told me I did everything correctly, and 
should have received my money back, as you state in all your little 
regulations that also say I should have received my money back in 7 to 
10 days and haven't. Are you that greedy?SincerelyJerry SinkovecP.S. Beware  of Amazon and their sellers!",1,"“The worst shopping experience of my Life and  I'm 82, and they protect frauds” "
21,"I purchased an item by mistake and tried to cancel it right away.  The next day I got an email saying it was already shipped and it could not be cancelled. Really??? I cancelled it right  away!  Once I received the package, I returned it that day.  Even though this Asian company confirmed the return, I still as of this day have not received a penny. That was in July 2018. Amazon says they contacted the seller, the seller says they are looking into it.  Its the same thing over and over again with no results.  This has been going on for almost 6 months.  I urge everyone to be careful of where there item is coming from and check their background and rating.  I've been am Amazon customer for years with a Prime membership.  I will no longer buy anything from Amazon again for fear of being ripped off again.",1,“I've got ripped off!” 
22,"After I wrote this review I got another message from Amazon.  I had 
order a tip that I liked and it came from one of the companies that 
sells through Amazon.  I was given an arrive date and then date came but
 the top didn't.  Ups handed off the package to USPS and the top never 
made it to me.  It got delivered to someone else and my money would be 
refunded.  Of course I got asked for a review on the product.  You know 
how did it fit, was I happy with it, things like that.  I responded.  
How the heck do I know any of the things you asked when the product 
never made it me.  It literally got lost in the mail.  They didn't like 
that comment and told me that it wouldn't be posted.",1,“Something I Ordered” 
23,"My Amazon account was hacked and Amazon closed my account but they also have not allowed access to my over $11,000 in video and audio licensing (movies, audio, and kindle books) in my new account. They said this is their policy.

I am SHOCKED at their audacity in just stealing over $11,000 from me and my family. 

SHAME ON YOU AMAZON.",1,"“Amazon policy is criminal, really it is criminal” "
24,"Wish we could give negative.I will never buy anything from amazon.com for christmas gifts.They treat non prime members like dirt.In fact I try to avoid them when I can because they have become a nightmare.I have learned my lesson.On their website they clearly and it really big bold type state that our orders will make it in time for christmas.Customer service literally denies the reality everyone else lives in about the delivery of christmas gifts.We expected the package in a reasonable 5-7 business days after ordering but because they live on another planet they waited over 5 days to ship it and now will be here several days after christmas.Wow,that's how much they care about their customers,their families and their christmas holiday.They also will not provide proper tracking for packages so don't expect to be able to track your package.Amazon has really fallen.",1,“Once awesome amazon is now a complete nightmare” 
25,Not going to make this review long. Items have come damaged (more than several). Items not received within the time that they were promised. Items that were pre-ordered never showed up and were canceled. Packages being left on my garbage can. Everything is in Chinese or Chinese sold. Done with Amazon.,1,“Disappointed all the way” 
26,"2 months and no refund back to me. The dress i bought very big. Amazon dont help me at all. The seller blocked me, i am so upset",1,“No refund” 
27,"I got so tired of so many e-mails stating that my order had arrived when I didn't order anything.  I didn't want to crack their eggs, do a survey, or anything else.  I tried to stop the e-mails from coming, tried each and everything they told me to do, but e-mails keep coming.  I had to go into their chat to get this address to cancel my account:  https://www.amazon.com/gp/help/rsvp-mi.html?q=acc1  They stopped me from posting on FB.  Isn't it great how such a huge company can't take a few bad comments?  I doubt I will ever do business with them again.",1,“Cracked eggs” 
28,I called him to give me a refund on An unauthorized subscription that they had me going when I ordered one thing from Amazon a month and a half ago and the first guy hung up on me because he was looking at my account wrong and then the other girl that I called back to was not helpful at all not trying to give me a refund and telling me that what I'm seeing on my account was wrong and my address was not right connected to my account and that I $#*!ing hate Amazon never in my life well I order from them ever again I never did I never will they suck their customer service suck them $#*!ing foreigners don't know what the $#*! they're doing I will never ever recommend them ever again,1,“Horrible horrible horrible” 
29,"Pre Ordered a book for guaranteed release date delivery. Guess what?!? No show! 7 different customer service reps and 2 days later and I get told they had to push my delivery date back due to unseen issues but won't refund my money until the book is delivered?!? Kept putting me on hold and then asked if I was ok with the service. Umm.. no! I want my purchase or a full refund the day it was supposed to be delivered. Won't be making that mistake again! Amazon used to be great, now it's a waste of time and money!",1,“Pre Ordered and No delivery!” 
30,"I called Amazon to day due to repeated delays in shipping on my orders. I have had Amazon Prime for years. They tried to blame it on Fed Ex! I pay extra  on an annual basis to guarantee my products will arrive in 2 days. They are awful! I subsequently will ""jump ship"" from Amazon and take my business to other online sellers.",1,“Prime 2 Day Shipping A Joke!!! Soon to Be Ex Prime Member and Amazon Shopper!!!” 
31,"I have been a huge Amazon fan for years... Prime member for years.... almost all on-line shopping dine through Amazon. I have relied heavily on their customer reviews because I felt that they were an HONEST evaluation of a given product. I discovered this week that their reviews are a LIE. They CENSOR and BLOCK negative reviews of verified purchases. This is OUTRAGEOUS. I am shocked and dismayed and wish there was some way I could tell the public at large that AMAZON REVIEWS ARE A SCAM. They will block negative reviews so that people will continue to waste their money on junk products. 

Here is the story and the proof. 

I purchased a stupid Christmas beanie cap on one of their Black Friday lightning deals. It was only like $6 or $7.  The fabric has Christmas lights around it and they supposedly lit up. I thought my high school daughter would get a kick out of it. Despite being Prime, it took like a week to arrive (their ""2 day guaranteed free shipping is another scam which has frustrated me, but not like this... not enough to make me quit the convenience of Amazon). It shows up yesterday and I pull it out of the package and discover that - not only does it NOT light up, it has zero wires and no battery pack. There is a small pocket sewn in the inside where the battery and switch are supposed to be, but again, there are no wires and no battery. It was cheap and I didn't really care enough to return it, but I went onto website to leave a review. (I will generally leave reviews on products that are either 5-star fantastic, or 1-star terrible. I think those experiences are most valuable to other shoppers.) I went into my account and started my review by clicking the one-star button. This should have allowed my to then title and explain my poor review. Instead, I git a message saying that Amazon could not accept my review if this product (mind you, all I had done was click the one star button.) They said that they had some unusual review activity' so they were blocking reviews of this product. I went back into the product image and lo and behold, I see the questions and comments part, I discover that multiple customers received hats just like me. No wires. No battery. And they were also very upset that Amazon was not allowing them to review it. So I sent Customer Service an email expressing my dismay at them blocking honest reviews of products by verified customers on their website. It took a full day (not the 12 hours promised) to reply, but this was the response:

Hello Stacey

This is Deleon from Communities.

We couldn't accept your review for Windy City Novelties LED Light-up Knitted Ugly Sweater Holiday Xmas Christmas Beanie - 3 Flashing Modes (FA La La Beanie) because we detected unusual review behavior on this product.  We place limits on reviews to preserve trust in customer reviews.  This can include limiting submission of all reviews or limiting reviews to Amazon Verified Purchase reviews.  

For more details, please see our Community Guidelines:

http://www.amazon.com/review-guidelines/

For more information about Verified Purchase reviews:

https://www.amazon.com/gp/help/customer/display.html?nodeId=201145140

We look forward to seeing you again soon.

Best regards,
Deleon A
........................................................................................................................

Thank you for your inquiry. Did I solve your problem?

If yes, please click here: 
http://www.amazon.com/gp/help/survey?p=A1WFYVNMG7PB3M&k=hy&ref_=cscem_hmdyes_pt_1

If no, please click here: 
http://www.amazon.com/gp/help/survey?p=A1WFYVNMG7PB3M&k=hn&ref_=cscem_hmdno_pt_1

........................................................................................................................

Your feedback is helping us build Earth's Most Customer-Centric Company.

Thank you.
Amazon.com

---- Original Message: ----

---------------
12/01/18 17:18:07
Your Name: Stacey 
Order Id: 112-0724340-1805852
Selected Order Items: 
   Windy City Novelties LED Light-up Knitted Ugly Sweater Holiday Xmas Christmas Beanie - 3 Flashing Modes (FA La La Beanie) - 112-0724340-1805852
Comments:This ""light up"" hat came with zero wires and no battery pack. Looking at the customer questions/answers, this has happened to a lot of people who ordered this as one of your Black Friday deals. I went to leave a review and it says that Amazon cannot accept my review of this product. What?!!! You are deciding that customers cannot review a product if something you are selling is total garbage? It is not worth my time nor energy to return it but I wanted to be able to at least warn other customers about this product. I have always relied heavily on customer reviews and is why I have always been a fan of Amazon despite numerous frustrations with shipping expectations that you set but rarely meet. Now I know that your reviews are a fraud. You shut down reviews of products that do not even meet basic standards. This company should NOT be allowed to sell through Amazon AND you should allow every verified customer to review any and all products that they have purchased. Shame on you. I will likely quit Amaxon because of this and will post on a review website that you are sensoring and blocking negative reviews.
---------------

The bottom line is this: Amazon is a DISHONEST COMPANY who is censoring customers reviews to protect their bottom line. They want everyone to waste their money on this stupid garbage hat because it makes them money. They want us to believe that the reviews we read are real and are from verified' customers, but they don't tell you that it ya all a lie because they pick and choose which reviews to accept. It is really a disgrace. They were the first company to publish customer reviews in 1995 and now they have lost their way. SHAME on Amazon. I will miss the convenience of shipping with them but I cannot support such a loathsome, dishonest company any longer. I hope all who read this will boycott Amazon as well.",1,“They BLOCK negative reviews!! BEWARE!!” 
32,"I was Amazon prime member from 2014, in last year and half they started doing things like: I order something and they keep delaying delivery for a days, when you order something they guarantee delivery by specific date, after they take your money they start explaining you that you didn't understand and is not always like that. They don't wait no even one day for me to pay, they cut membership in second and they take money in second, but, when you have problems, they keep explaining that you are wrong and they are right. I am switching to eBay. Don't trust Amazon  anymore .",1,“Amazon Prime Membership” 
33,"My Amazon searches are now all gunked up with sponsored adds that appear out of price order and in violation of my criteria!  I've even ordered the wrong thing assuming it was the same as all the other cables on the list.  Walmart has greatly improved, has many of the same small sellers I got in my amazon results, and now has an area in the store near us dedicated to online returns (pick up too but I'd rather have it shipped free to me).  And you can return stuff w/o a reason and still for free.",1,“Go try Walmart!   Its searches contain just the stuff you specified and you can return big things.” 
34,I bought a toy that is Amazon Exclusive within 30 days and now their price is lower and they won't refund the $8 difference but I could send it back which would cost me $8!  This is why we need to keep shopping big box stores that will make these kind of credits!,1,“Matching lower price” 
35,"They banned my account for reasons which I did not understand, as an amazon seller, while I have $10,000 on products and inventory just sitting here. They won't explain further or return my emails. No number to call. Don't get into the business unless you want to get burned by amazon.",1,“Don't be sell products on amazon” 
